cod_municipio,municipio,uf,n
1718840,SANDOLANDIA,TO,2
1720499,SAO VALERIO DA NATIVIDADE,TO,2
1720937,TAIPAS DO TOCANTINS,TO,2
1720978,TALISMA,TO,2
2100808,ANAPURUS,MA,2
2101806,BENEDITO LEITE,MA,2
2102036,BOM JESUS DAS SELVAS,MA,2
2102200,BURITI,MA,2
2103000,CAXIAS,MA,2
2105500,JOAO LISBOA,MA,2
2106102,LORETO,MA,2
2109908,SANTA INES,MA,2
2111052,SAO JOAO DO PARAISO,MA,2
2111201,SAO JOSE DE RIBAMAR,MA,2
2111300,SAO LUIS,MA,2
2111763,SENADOR LA ROCQUE,MA,2
2200277,ALEGRETE DO PIAUI,PI,2
2201150,BAIXA GRANDE DO RIBEIRO,PI,2
2201309,BARREIRAS DO PIAUI,PI,2
2202091,CALDEIRAO GRANDE DO PIAUI,PI,2
2202505,CARACOL,PI,2
2202851,CORONEL JOSE DIAS,PI,2
2203909,FLORIANO,PI,2
2205953,MARCOLANDIA,PI,2
2207108,OLHO D'AGUA DO PIAUI,PI,2
2207405,PALMEIRA DO PIAUI,PI,2
2211209,URUCUI,PI,2
2303006,CARIDADE,CE,2
2304301,FARIAS BRITO,CE,2
2306553,ITAREMA,CE,2
2307304,JUAZEIRO DO NORTE,CE,2
2308906,MORRINHOS,CE,2
2311959,SALITRE,CE,2
2313500,TRAIRI,CE,2
2400703,ALTO DO RODRIGUES,RN,2
2401450,BARAUNA,RN,2
2401453,BARAUNA,RN,2
2402204,CANGUARETAMA,RN,2
2402600,CEARA-MIRIM,RN,2
2404507,GUAMARE,RN,2
2404705,IPANGUACU,RN,2
2406106,JUCURUTU,RN,2
2406700,LAJES,RN,2
2407104,MACAIBA,RN,2
2407401,MARTINS,RN,2
2408904,PARELHAS,RN,2
2408953,RIO DO FOGO,RN,2
2414407,TOUROS,RN,2
2414902,VICOSA,RN,2
2500304,ALAGOA GRANDE,PB,2
2500403,ALAGOA NOVA,PB,2
2500734,AMPARO,PB,2
2501401,BAIA DA TRAICAO,PB,2
2502409,BONITO DE SANTA FE,PB,2
2507101,ITAPOROROCA,PB,2
2508901,MAMANGUAPE,PB,2
2509008,MANAIRA,PB,2
2512721,PEDRO REGIS,PB,2
2515708,SERRA GRANDE,PB,2
2516003,SOLANEA,PB,2
2601102,ARARIPINA,PE,2
2604106,CARUARU,PE,2
2606408,GRAVATA,PE,2
2606903,IGUARACI,PE,2
2612455,SANTA CRUZ,PE,2
2613008,SAO BENTO DO UNA,PE,2
2613107,SAO CAITANO,PE,2
2615409,TORITAMA,PE,2
2701605,CANAPI,AL,2
2702405,DELMIRO GOUVEIA,AL,2
2703759,JEQUIA DA PRAIA,AL,2
2706703,PENEDO,AL,2
2708402,SAO JOSE DA TAPERA,AL,2
2805307,PIRAMBU,SE,2
2806909,SAO FRANCISCO,SE,2
2901155,AMERICA DOURADA,BA,2
2904902,CACHOEIRA,BA,2
2907103,CARINHANHA,BA,2
2909406,COTEGIPE,BA,2
2910503,ENTRE RIOS,BA,2
2911006,FLORESTA AZUL,BA,2
2917359,JABORANDI,BA,2
2918753,LAGOA REAL,BA,2
2921104,MEDEIROS NETO,BA,2
2923001,NOVA VICOSA,BA,2
2926202,RIACHAO DAS NEVES,BA,2
2928604,SANTO AMARO,BA,2
2931202,TAPEROA,BA,2
2933505,WENCESLAU GUIMARAES,BA,2
2933604,XIQUE-XIQUE,BA,2
3104007,ARAXA,MG,2
3104502,ARINOS,MG,2
3107109,BOA ESPERANCA,MG,2
3109204,BUENOPOLIS,MG,2
3109402,BURITIZEIRO,MG,2
3110509,CAMANDUCAIA,MG,2
3112307,CAPELINHA,MG,2
3112802,CAPITOLIO,MG,2
3113305,CARANGOLA,MG,2
3113701,CARLOS CHAGAS,MG,2
3115300,CATAGUASES,MG,2
3116159,CHAPADA GAUCHA,MG,2
3116605,CLAUDIO,MG,2
3118304,CONSELHEIRO LAFAIETE,MG,2
3118403,CONSELHEIRO PENA,MG,2
3120904,CURVELO,MG,2
3121001,DATAS,MG,2
3121258,DELTA,MG,2
3121308,DESCOBERTO,MG,2
3121605,DIAMANTINA,MG,2
3121803,DIONISIO,MG,2
3124104,ESMERALDAS,MG,2
3124302,ESPINOSA,MG,2
3124609,ESTRELA DALVA,MG,2
3125101,EXTREMA,MG,2
3125903,FERROS,MG,2
3126000,FLORESTAL,MG,2
3126109,FORMIGA,MG,2
3126208,FORMOSO,MG,2
3126604,FRANCISCO DUMONT,MG,2
3126703,FRANCISCO SA,MG,2
3127388,GOIANA,MG,2
3127602,GOUVEIA,MG,2
3129806,IBIRITE,MG,2
3131703,ITABIRA,MG,2
3132503,ITAMARANDIBA,MG,2
3134509,ITUTINGA,MG,2
3135050,JAIBA,MG,2
3135209,JANUARIA,MG,2
3136603,NOVA UNIAO,MG,2
3136652,JUATUBA,MG,2
3137502,LAGOA FORMOSA,MG,2
3138005,LARANJAL,MG,2
3138203,LAVRAS,MG,2
3139409,MANHUACU,MG,2
3140704,MATEUS LEME,MG,2
3142106,MIRADOURO,MG,2
3144375,NATALANDIA,MG,2
3144706,NOVA ERA,MG,2
3145455,OLHOS-D'AGUA,MG,2
3146909,PAPAGAIOS,MG,2
3148202,PATROCINIO DO MURIAE,MG,2
3149309,PEDRO LEOPOLDO,MG,2
3150802,PIRANGA,MG,2
3151107,PIRAPETINGA,MG,2
3151305,PIRAUBA,MG,2
3151503,PIUMHI,MG,2
3151602,PLANURA,MG,2
3151800,POCOS DE CALDAS,MG,2
3152170,PONTO DOS VOLANTES,MG,2
3152907,PRATAPOLIS,MG,2
3155405,RIO NOVO,MG,2
3157203,SANTA BARBARA,MG,2
3157278,SANTA BARBARA DO MONTE VERDE,MG,2
3157609,SANTA FE DE MINAS,MG,2
3157708,SANTA JULIANA,MG,2
3158508,SANTANA DE PIRAPAMA,MG,2
3166402,SERITINGA,MG,2
3167905,TABULEIRO,MG,2
3169208,TOMBOS,MG,2
3169356,TRES MARIAS,MG,2
3169406,TRES PONTAS,MG,2
3170529,URUCUIA,MG,2
3170602,VARGEM BONITA,MG,2
3200201,ALEGRE,ES,2
3200300,ALFREDO CHAVES,ES,2
3201100,BOM JESUS DO NORTE,ES,2
3203502,MONTANHA,ES,2
3203700,MUNIZ FREIRE,ES,2
3203809,MUQUI,ES,2
3204559,SANTA MARIA DE JETIBA,ES,2
3205010,SOORETAMA,ES,2
3300209,ARARUAMA,RJ,2
3301306,CASIMIRO DE ABREU,RJ,2
3302601,MANGARATIBA,RJ,2
3305802,TERESOPOLIS,RJ,2
3502804,ARACATUBA,SP,2
3506102,BEBEDOURO,SP,2
3509502,CAMPINAS,SP,2
3521002,IPERO,SP,2
3530003,MIRA ESTRELA,SP,2
3531100,MONGAGUA,SP,2
3540705,PORTO FERREIRA,SP,2
3543402,RIBEIRAO PRETO,SP,2
3546603,SANTA FE DO SUL,SP,2
4104808,CASCAVEL,PR,2
4108502,GENERAL CARNEIRO,PR,2
4110003,IGUARACU,PR,2
4113304,LARANJEIRAS DO SUL,PR,2
4117057,NOVA LARANJEIRAS,PR,2
4117701,PALMEIRA,PR,2
4119152,PINHAIS,PR,2
4119301,PINHAO,PR,2
4127304,TERRA RICA,PR,2
4128203,UNIAO DA VITORIA,PR,2
4203253,CAPAO ALTO,SC,2
4204608,CRICIUMA,SC,2
4204707,CUNHA PORA,SC,2
4206652,GUATAMBU,SC,2
4212007,PALMA SOLA,SC,2
4212270,PASSOS MAIA,SC,2
4213609,PORTO UNIAO,SC,2
4214409,RIO DAS ANTAS,SC,2
4216008,SAO CARLOS,SC,2
4216206,SAO FRANCISCO DO SUL,SC,2
4218905,URUBICI,SC,2
4300406,ALEGRETE,RS,2
4301305,ARROIO GRANDE,RS,2
4303004,CACHOEIRA DO SUL,RS,2
4303509,CAMAQUA,RS,2
4304622,CAPAO BONITO DO SUL,RS,2
4309407,GUAPORE,RS,2
4309654,HULHA NEGRA,RS,2
4316451,SALTO DO JACUI,RS,2
4318002,SAO BORJA,RS,2
4321352,TAVARES,RS,2
4321501,TORRES,RS,2
5001243,ARAL MOREIRA,MS,2
5002100,BELA VISTA,MS,2
5002951,CHAPADAO DO SUL,MS,2
5003801,FATIMA DO SUL,MS,2
5004403,INOCENCIA,MS,2
5004502,ITAPORA,MS,2
5004908,JARAGUARI,MS,2
5006358,PARANHOS,MS,2
5006606,PONTA PORA,MS,2
5100201,AGUA BOA,MT,2
5100359,ALTO BOA VISTA,MT,2
5100805,APIACAS,MT,2
5101605,BARAO DE MELGACO,MT,2
5101704,BARRA DO BUGRES,MT,2
5102686,CAMPOS DE JULIO,MT,2
5102694,CANABRAVA DO NORTE,MT,2
5103353,CONFRESA,MT,2
5103361,CONQUISTA D'OESTE,MT,2
5103502,DIAMANTINO,MT,2
5104609,ITIQUIRA,MT,2
5105150,JUINA,MT,2
5105176,JURUENA,MT,2
5105606,MATUPA,MT,2
5106109,NOSSA SENHORA DO LIVRAMENTO,MT,2
5106190,NOVA SANTA HELENA,MT,2
5106281,NOVO SAO JOAQUIM,MT,2
5106372,PEDRA PRETA,MT,2
5106851,PORTO ESTRELA,MT,2
5107800,SANTO ANTONIO DO LEVERGER,MT,2
5200308,ALEXANIA,GO,2
5201405,APARECIDA DE GOIANIA,GO,2
5203104,BALIZA,GO,2
5203807,BRITANIA,GO,2
5204656,CAMPINACU,GO,2
5205521,COLINAS DO SUL,GO,2
5206602,CUMARI,GO,2
5207808,FIRMINOPOLIS,GO,2
5208608,GOIANESIA,GO,2
5209408,GUARANI DE GOIAS,GO,2
5210307,ISRAELANDIA,GO,2
5211800,JARAGUA,GO,2
5212204,JUSSARA,GO,2
5212709,MAMBAI,GO,2
5213756,MONTIVIDIU,GO,2
5213806,MORRINHOS,GO,2
5214507,NEROPOLIS,GO,2
5215256,NOVO PLANALTO,GO,2
5215652,PALESTINA DE GOIAS,GO,2
5216304,PARANAIGUARA,GO,2
5216908,PILAR DE GOIAS,GO,2
5218300,POSSE,GO,2
5219704,SANTA TEREZINHA DE GOIAS,GO,2
5221304,TRES RANCHOS,GO,2
5221908,VARJAO,GO,2
431173,MANOEL VIANA,RS,1
1100049,CACOAL,RO,1
1100098,ESPIGAO D'OESTE,RO,1
1100122,JI-PARANA,RO,1
1100262,RIO CRESPO,RO,1
1100346,ALVORADA D'OESTE,RO,1
1100601,CACAULANDIA,RO,1
1100700,CAMPO NOVO DE RONDONIA,RO,1
1100809,CANDEIAS DO JAMARI,RO,1
1100908,CASTANHEIRAS,RO,1
1100924,CHUPINGUAIA,RO,1
1101203,MINISTRO ANDREAZZA,RO,1
1200138,BUJARI,AC,1
1200807,PORTO ACRE,AC,1
1300508,BARREIRINHA,AM,1
1301100,CAREIRO,AM,1
1301100,Careiro,AM,1
1301407,EIRUNEPE,AM,1
1301704,HUMAITA,AM,1
1302207,JURUA,AM,1
1302306,JUTAI,AM,1
1302801,MARAA,AM,1
1302900,MAUES,AM,1
1400027,AMAJARI,RR,1
1400050,ALTO ALEGRE,RR,1
1400209,CARACARAI,RR,1
1500107,ABAETETUBA,PA,1
1501006,AVEIRO,PA,1
1501709,BRAGANCA,PA,1
1502152,CANAA DOS CARAJAS,PA,1
1503077,GARRAFAO DO NORTE,PA,1
1503457,IPIXUNA DO PARA,PA,1
1503754,JACAREACANGA,PA,1
1504802,MONTE ALEGRE,PA,1
1504901,MUANA,PA,1
1505700,PONTA DE PEDRAS,PA,1
1506005,PRAINHA,PA,1
1506161,RIO MARIA,PA,1
