issuanceDate,programObjectives,instrumentType,vintageStart,vintageEnd,reportingPeriodStart,reportingPeriodEnd,resourceIdentifier,resourceName,region,country,protocolCategory,protocol,totalVintageQuantity,quantity,serialNumbers,externalSerialNumber,additionalCertifications,retiredCancelled,retireOrCancelDate,retirementBeneficiary,retirementReason,retirementDetails,inputTypes,holdingIdentifier,id_projeto
2024-10-25,NA,VCU,2023-01-01,2023-09-30,2023-01-01,2023-09-30,138,Greater New Bedford LFG Utilization Project,North America,United States,Energy industries (renewable/non-renewable sources),ACM0001,98230,10965,17336-825574935-825585899-VCS-VCU-2606-VER-US-1-138-01012023-30092023-1,NA,ICVCM CCP,TRUE,2025-01-29,,,,NA,267733,138
2024-10-25,NA,VCU,2023-01-01,2023-09-30,2023-01-01,2023-09-30,138,Greater New Bedford LFG Utilization Project,North America,United States,Energy industries (renewable/non-renewable sources),ACM0001,98230,87265,17336-825585900-825673164-VCS-VCU-2606-VER-US-1-138-01012023-30092023-1,NA,ICVCM CCP,FALSE,NA,,,,NA,280073,138
2023-10-09,NA,VCU,2022-07-01,2022-12-31,2022-07-01,2022-12-31,138,Greater New Bedford LFG Utilization Project,North America,United States,Energy industries (renewable/non-renewable sources),ACM0001,69463,646,15764-716280599-716281244-VCS-VCU-2606-VER-US-1-138-01072022-31122022-1,NA,ICVCM CCP,TRUE,2024-01-31,,,,NA,220263,138
2023-10-09,NA,VCU,2022-07-01,2022-12-31,2022-07-01,2022-12-31,138,Greater New Bedford LFG Utilization Project,North America,United States,Energy industries (renewable/non-renewable sources),ACM0001,69463,10056,15764-716290599-716300654-VCS-VCU-2606-VER-US-1-138-01072022-31122022-1,NA,ICVCM CCP,TRUE,2024-01-12,,,,NA,229353,138
2023-10-09,NA,VCU,2022-07-01,2022-12-31,2022-07-01,2022-12-31,138,Greater New Bedford LFG Utilization Project,North America,United States,Energy industries (renewable/non-renewable sources),ACM0001,69463,1080,15764-716300655-716301734-VCS-VCU-2606-VER-US-1-138-01072022-31122022-1,NA,ICVCM CCP,TRUE,2024-09-05,,,,NA,232450,138
2023-10-09,NA,VCU,2022-07-01,2022-12-31,2022-07-01,2022-12-31,138,Greater New Bedford LFG Utilization Project,North America,United States,Energy industries (renewable/non-renewable sources),ACM0001,69463,2000,15764-716281245-716283244-VCS-VCU-2606-VER-US-1-138-01072022-31122022-1,NA,ICVCM CCP,TRUE,2024-02-07,CrowdStrike,Retirement for Person or Organization,On behalf of CrowdStrike,NA,234135,138
2023-10-09,NA,VCU,2022-07-01,2022-12-31,2022-07-01,2022-12-31,138,Greater New Bedford LFG Utilization Project,North America,United States,Energy industries (renewable/non-renewable sources),ACM0001,69463,108,15764-716283245-716283352-VCS-VCU-2606-VER-US-1-138-01072022-31122022-1,NA,ICVCM CCP,TRUE,2024-03-21,Thornton Tomasetti,Retirement for Person or Organization,On behalf of Thornton Tomasetti,NA,234865,138
2023-10-09,NA,VCU,2022-07-01,2022-12-31,2022-07-01,2022-12-31,138,Greater New Bedford LFG Utilization Project,North America,United States,Energy industries (renewable/non-renewable sources),ACM0001,69463,2778,15764-716283353-716286130-VCS-VCU-2606-VER-US-1-138-01072022-31122022-1,NA,ICVCM CCP,TRUE,2024-04-15,,,,NA,240202,138
2023-10-09,NA,VCU,2022-07-01,2022-12-31,2022-07-01,2022-12-31,138,Greater New Bedford LFG Utilization Project,North America,United States,Energy industries (renewable/non-renewable sources),ACM0001,69463,1500,15764-716286131-716287630-VCS-VCU-2606-VER-US-1-138-01072022-31122022-1,NA,ICVCM CCP,TRUE,2024-07-17,Latham & Watkins LLP,Retirement for Person or Organization,"On July 17, 2024, 1,500 VCUs issued by VCS138 in its capacity as administrator of the Verra Registry were retired on behalf of: Latham & Watkins LLP – Mitigate 2023 GHG Emissions of Latham & Watkins LLP.",NA,242559,138
2023-10-09,NA,VCU,2022-07-01,2022-12-31,2022-07-01,2022-12-31,138,Greater New Bedford LFG Utilization Project,North America,United States,Energy industries (renewable/non-renewable sources),ACM0001,69463,4330,15764-716330655-716334984-VCS-VCU-2606-VER-US-1-138-01072022-31122022-1,NA,ICVCM CCP,TRUE,2024-10-15,HarbourVest Partners L.P.,Retirement for Person or Organization,On behalf of HarbourVest Partners L.P.,NA,251045,138
