issuanceDate,programObjectives,instrumentType,vintageStart,vintageEnd,reportingPeriodStart,reportingPeriodEnd,resourceIdentifier,resourceName,region,country,protocolCategory,protocol,totalVintageQuantity,quantity,serialNumbers,externalSerialNumber,additionalCertifications,retiredCancelled,retireOrCancelDate,retirementBeneficiary,retirementReason,retirementDetails,inputTypes,holdingIdentifier,id_projeto
2022-04-27,NA,VCU,2015-01-01,2015-12-31,2015-01-01,2015-12-31,1094,Ecomapua Amazon REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,61061,1042,12952-462489529-462490570-VCS-VCU-290-VER-BR-14-1094-01012015-31122015-1,NA,Social Carbon,FALSE,NA,,,,NA,167409,1094
2022-04-27,NA,VCU,2014-01-01,2014-12-31,2014-01-01,2014-12-31,1094,Ecomapua Amazon REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,41867,4748,12953-462490571-462495318-VCS-VCU-290-VER-BR-14-1094-01012014-31122014-1,NA,Social Carbon,FALSE,NA,,,,NA,167410,1094
2022-04-27,NA,VCU,2013-01-01,2013-12-31,2013-01-01,2013-12-31,1094,Ecomapua Amazon REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,17975,2157,12954-462495319-462497475-VCS-VCU-290-VER-BR-14-1094-01012013-31122013-1,NA,Social Carbon,FALSE,NA,,,,NA,167411,1094
2022-04-27,NA,VCU,2012-01-01,2012-12-31,2012-01-01,2012-12-31,1094,Ecomapua Amazon REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,333324,1800,12955-462497476-462499275-VCS-VCU-290-VER-BR-14-1094-01012012-31122012-1,NA,Social Carbon,TRUE,2024-07-01,,,,NA,167412,1094
2022-04-27,NA,VCU,2012-01-01,2012-12-31,2012-01-01,2012-12-31,1094,Ecomapua Amazon REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,333324,19407,12955-462499276-462518682-VCS-VCU-290-VER-BR-14-1094-01012012-31122012-1,NA,Social Carbon,FALSE,NA,,,,NA,202246,1094
2022-04-27,NA,VCU,2010-01-01,2010-12-31,2010-01-01,2010-12-31,1094,Ecomapua Amazon REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,156230,6034,12956-462518683-462524716-VCS-VCU-290-VER-BR-14-1094-01012010-31122010-1,NA,Social Carbon,FALSE,NA,,,,NA,167413,1094
2022-04-27,NA,VCU,2010-01-01,2010-12-31,2010-01-01,2010-12-31,1094,Ecomapua Amazon REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,156230,120,12957-462524717-462524836-VCS-VCU-290-VER-BR-14-1094-01012010-31122010-1,NA,Social Carbon,FALSE,NA,,,,NA,167455,1094
2022-04-27,NA,VCU,2017-01-01,2017-12-31,2017-01-01,2017-12-31,1094,Ecomapua Amazon REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,23019,2162,12950-462483645-462485806-VCS-VCU-290-VER-BR-14-1094-01012017-31122017-1,NA,Social Carbon,FALSE,NA,,,,NA,167407,1094
2022-04-27,NA,VCU,2016-01-01,2016-12-31,2016-01-01,2016-12-31,1094,Ecomapua Amazon REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,31017,3722,12951-462485807-462489528-VCS-VCU-290-VER-BR-14-1094-01012016-31122016-1,NA,Social Carbon,FALSE,NA,,,,NA,167408,1094
2022-04-14,NA,VCU,2015-01-01,2015-12-31,2015-01-01,2015-12-31,1094,Ecomapua Amazon REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,61061,7639,12870-456650422-456658060-VCS-VCU-290-VER-BR-14-1094-01012015-31122015-1,NA,Social Carbon,TRUE,2024-10-03,,,,NA,166620,1094
2022-04-14,NA,VCU,2016-01-01,2016-12-31,2016-01-01,2016-12-31,1094,Ecomapua Amazon REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,31017,27295,12871-456658061-456685355-VCS-VCU-290-VER-BR-14-1094-01012016-31122016-1,NA,Social Carbon,TRUE,2024-10-03,,,,NA,166621,1094
2022-04-14,NA,VCU,2017-01-01,2017-12-31,2017-01-01,2017-12-31,1094,Ecomapua Amazon REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,23019,5539,12872-456685356-456690894-VCS-VCU-290-VER-BR-14-1094-01012017-31122017-1,NA,Social Carbon,TRUE,2024-10-03,,,,NA,166622,1094
2022-04-14,NA,VCU,2017-01-01,2017-12-31,2017-01-01,2017-12-31,1094,Ecomapua Amazon REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,23019,7569,12872-456690895-456698463-VCS-VCU-290-VER-BR-14-1094-01012017-31122017-1,NA,Social Carbon,TRUE,2024-12-18,,,,NA,263894,1094
2022-04-14,NA,VCU,2017-01-01,2017-12-31,2017-01-01,2017-12-31,1094,Ecomapua Amazon REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,23019,2749,12872-456698464-456701212-VCS-VCU-290-VER-BR-14-1094-01012017-31122017-1,NA,Social Carbon,FALSE,NA,,,,NA,276553,1094
2022-04-14,NA,VCU,2013-01-01,2013-12-31,2013-01-01,2013-12-31,1094,Ecomapua Amazon REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,17975,15818,12873-456701213-456717030-VCS-VCU-290-VER-BR-14-1094-01012013-31122013-1,NA,Social Carbon,TRUE,2024-10-03,,,,NA,166623,1094
2022-04-14,NA,VCU,2010-01-01,2010-12-31,2010-01-01,2010-12-31,1094,Ecomapua Amazon REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,156230,30550,12867-456414955-456445504-VCS-VCU-290-VER-BR-14-1094-01012010-31122010-1,NA,Social Carbon,TRUE,2023-04-17,,,,NA,166617,1094
2022-04-14,NA,VCU,2010-01-01,2010-12-31,2010-01-01,2010-12-31,1094,Ecomapua Amazon REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,156230,14577,12867-456445505-456460081-VCS-VCU-290-VER-BR-14-1094-01012010-31122010-1,NA,Social Carbon,TRUE,2023-06-30,,,,NA,200570,1094
