issuanceDate,programObjectives,instrumentType,vintageStart,vintageEnd,reportingPeriodStart,reportingPeriodEnd,resourceIdentifier,resourceName,region,country,protocolCategory,protocol,totalVintageQuantity,quantity,serialNumbers,externalSerialNumber,additionalCertifications,retiredCancelled,retireOrCancelDate,retirementBeneficiary,retirementReason,retirementDetails,inputTypes,holdingIdentifier,id_projeto
2023-04-19,NA,VCU,2020-01-01,2020-12-31,2020-01-01,2020-12-31,1654,Fortaleza Ituxi REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,20795,940,15048-641983256-641984195-VCS-VCU-1519-VER-BR-14-1654-01012020-31122020-0,NA,NA,TRUE,2023-05-05,Sylvera,Retirement for Person or Organization,NA,NA,200786,1654
2023-04-19,NA,VCU,2020-01-01,2020-12-31,2020-01-01,2020-12-31,1654,Fortaleza Ituxi REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,20795,18607,15048-641984196-642002802-VCS-VCU-1519-VER-BR-14-1654-01012020-31122020-0,NA,NA,FALSE,NA,,,,NA,203495,1654
2023-04-18,NA,VCU,2021-01-01,2021-12-26,2021-01-01,2021-12-26,1654,Fortaleza Ituxi REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,134638,81393,15047-641856696-641938088-VCS-VCU-1519-VER-BR-14-1654-01012021-26122021-0,NA,NA,FALSE,NA,,,,NA,200705,1654
2023-04-18,NA,VCU,2021-01-01,2021-12-26,2021-01-01,2021-12-26,1654,Fortaleza Ituxi REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,134638,20686,15047-641938089-641958774-VCS-VCU-1519-VER-BR-14-1654-01012021-26122021-0,NA,NA,TRUE,2023-10-04,Itaú Unibanco S.A.,Environmental Benefit,"Compensação de emissões do ITAÚ UNIBANCO S.A. referente ao ano de 2022, no âmbito do Programa Compromisso com o Clima",NA,211595,1654
2023-04-18,NA,VCU,2021-01-01,2021-12-26,2021-01-01,2021-12-26,1654,Fortaleza Ituxi REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,134638,21656,15047-641958775-641980430-VCS-VCU-1519-VER-BR-14-1654-01012021-26122021-0,NA,NA,TRUE,2024-02-07,Localiza Rent A Car S.A.,Environmental Benefit,"Este certificado atesta a compensação de 21.656 toneladas de CO2 equivalentes em Reduções Verificadas de Emissões geradas pelo projeto REDD+ Fortaleza Ituxi (ID: 1654), a partir do selo Verified Carbon Standard para neutralização referente as parciais relativas ao produto Neutraliza - Rent A Car (RAC) do ano de 2023 da Localiza Rent a Car S.A.",NA,219700,1654
2023-04-18,NA,VCU,2021-01-01,2021-12-26,2021-01-01,2021-12-26,1654,Fortaleza Ituxi REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,134638,3,15047-641980431-641980433-VCS-VCU-1519-VER-BR-14-1654-01012021-26122021-0,NA,NA,TRUE,2024-03-13,Weleda do Brasil Laboratorio e Farmacia Ltda,Environmental Benefit,"Este certificado atesta a compensação de 3 toneladas de CO2 equivalentes em Reduções Verificadas de Emissões geradas pelo projeto REDD+ Fortaleza Ituxi (ID: 1654), a partir do selo Verified Carbon Standard para neutralização referente ao produto Neutralização de Carbono GF - Gestão de Frotas contratado com a Localiza Fleet S.A. pela Weleda do Brasil Laboratorio e Farmacia Ltda., referente aos meses de setembro a dezembro do ano de 2023 e ao mês de janeiro do ano de 2024",NA,233324,1654
2023-04-18,NA,VCU,2021-01-01,2021-12-26,2021-01-01,2021-12-26,1654,Fortaleza Ituxi REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,134638,10,15047-641980434-641980443-VCS-VCU-1519-VER-BR-14-1654-01012021-26122021-0,NA,NA,TRUE,2024-03-28,On behalf of Patch's customers and/ or their End Users,Retirement for Person or Organization,On behalf of Patch's customers and/ or their End Users,NA,238551,1654
2023-04-18,NA,VCU,2021-01-01,2021-12-26,2021-01-01,2021-12-26,1654,Fortaleza Ituxi REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,134638,2812,15047-641980444-641983255-VCS-VCU-1519-VER-BR-14-1654-01012021-26122021-0,NA,NA,FALSE,NA,,,,NA,240329,1654
2023-04-13,NA,VCU,2021-01-01,2021-12-26,2021-01-01,2021-12-26,1654,Fortaleza Ituxi REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,134638,13,15036-640569001-640569013-VCS-VCU-1519-VER-BR-14-1654-01012021-26122021-0,NA,NA,TRUE,2023-09-30,Cloverly Partners,Retirement for Person or Organization,Retired on Behalf of Cloverly Partners,NA,200105,1654
2023-04-13,NA,VCU,2021-01-01,2021-12-26,2021-01-01,2021-12-26,1654,Fortaleza Ituxi REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,134638,205,15036-640569014-640569218-VCS-VCU-1519-VER-BR-14-1654-01012021-26122021-0,NA,NA,TRUE,2023-09-30,Cloverly Partners,Retirement for Person or Organization,Retired on Behalf of Cloverly Partners,NA,204361,1654
